gameIndex,stage,redIndex,blueIndex,redId,outcome,blueId,winner,round,redScore,blueScore,redP,redA,redC,blueP,blueA,blueC,redPokes,bluePokes,redKillByP,redKillByA,redKillByC,blueKillByP,blueKillByA,blueKillByC,redVictimP,redVictimA,redVictimC,blueVictimP,blueVictimA,blueVictimC
59683,stage2_elite,147,98,REACHR19_HH_L08,draw,REACHR21_PH_L16,,20,0.0,0.0,1,2,7,0,10,0,0,0,0,4,6,0,11,0,1,8,1,1,3,7
62034,stage2_elite,98,196,REACHR21_PH_L16,draw,REACHR27_PH_L21,,20,0.0,0.0,0,10,0,0,10,0,0,0,0,9,0,0,9,1,0,8,1,1,8,1
62035,stage2_elite,196,98,REACHR27_PH_L21,draw,REACHR21_PH_L16,,20,0.0,0.0,0,10,0,0,10,0,0,0,0,9,1,0,11,0,1,8,1,1,9,1
64386,stage2_elite,147,196,REACHR19_HH_L08,elimination,REACHR27_PH_L21,B,13,-0.1842105263157894,1.1842105263157894,0,3,4,0,4,3,1,0,1,3,3,1,4,4,1,5,1,1,4,4
64387,stage2_elite,196,147,REACHR27_PH_L21,elimination,REACHR19_HH_L08,R,14,1.1578947368421053,-0.1578947368421052,0,6,1,0,4,3,1,0,1,7,1,0,5,1,1,5,3,1,4,1
66738,stage2_elite,147,245,REACHR19_HH_L08,elimination,REACHR10_PH_G08,B,12,-0.2105263157894736,1.2105263157894737,0,6,0,0,6,0,0,0,1,2,1,0,8,1,0,3,1,1,7,1
66739,stage2_elite,245,147,REACHR10_PH_G08,elimination,REACHR19_HH_L08,R,8,1.3157894736842106,-0.3157894736842105,0,4,0,0,2,2,0,0,0,5,1,0,3,1,1,3,2,1,2,1
69090,stage2_elite,196,245,REACHR27_PH_L21,elimination,REACHR10_PH_G08,B,13,-0.1842105263157894,1.1842105263157894,0,5,2,0,5,2,0,0,0,6,2,0,7,2,1,5,2,1,6,2
69091,stage2_elite,245,196,REACHR10_PH_G08,elimination,REACHR27_PH_L21,R,20,1.0,-0.0,0,8,2,0,6,4,0,0,1,6,5,1,6,4,1,7,4,1,8,2
71442,challenger,1,52,REACHR27_HL_G08,elimination,REACHR28_PL_G06,R,10,1.263157894736842,-0.2631578947368421,0,0,5,0,5,0,0,0,0,1,6,0,4,1,1,5,1,0,1,4
71443,challenger,52,1,REACHR28_PL_G06,draw,REACHR27_HL_G08,,20,0.0,0.0,0,10,0,0,0,10,3,0,3,5,1,1,0,8,0,1,8,0,8,1
71512,challenger,1,100,REACHR27_HL_G08,elimination,REACHR28_AL_G07,R,4,1.4210526315789471,-0.4210526315789473,0,0,2,0,2,0,0,0,0,1,3,0,1,0,1,2,1,0,1,0
71513,challenger,100,1,REACHR28_AL_G07,elimination,REACHR27_HL_G08,R,20,1.0,-0.0,0,10,0,0,0,10,1,0,2,10,0,0,0,9,1,1,10,0,8,1
71582,challenger,1,198,REACHR27_HL_G08,elimination,REACHR21_PH_L17,R,6,1.368421052631579,-0.3684210526315789,0,0,3,0,3,0,0,0,0,1,4,0,3,0,1,3,1,0,1,2
71583,challenger,198,1,REACHR21_PH_L17,elimination,REACHR27_HL_G08,B,11,-0.2368421052631578,1.236842105263158,0,6,0,0,0,6,0,0,0,6,0,0,2,6,1,1,4,1,6,1
71652,challenger,1,249,REACHR27_HL_G08,elimination,REACHR25_AH_G03,R,6,1.368421052631579,-0.3684210526315789,0,0,3,0,3,0,1,0,1,1,3,0,2,0,1,3,1,0,0,2
71653,challenger,249,1,REACHR25_AH_G03,elimination,REACHR27_HL_G08,B,5,-0.3947368421052631,1.3947368421052633,0,3,0,0,0,3,0,1,0,2,0,1,2,2,0,0,2,1,3,1
72002,challenger,147,52,REACHR19_HH_L08,elimination,REACHR28_PL_G06,R,14,1.1578947368421053,-0.1578947368421052,0,7,0,4,3,0,0,0,0,7,2,1,2,0,4,4,1,0,2,1
72003,challenger,52,147,REACHR28_PL_G06,elimination,REACHR19_HH_L08,R,8,1.3157894736842106,-0.3157894736842105,0,4,0,0,2,2,0,0,0,4,2,0,2,2,1,3,2,1,3,0
72072,challenger,147,100,REACHR19_HH_L08,elimination,REACHR28_AL_G07,B,11,-0.2368421052631578,1.236842105263158,0,6,0,0,6,0,0,0,0,2,1,0,7,1,0,2,1,1,6,1
72073,challenger,100,147,REACHR28_AL_G07,elimination,REACHR19_HH_L08,R,12,1.2105263157894737,-0.2105263157894736,0,6,0,0,4,2,0,0,0,8,0,0,2,2,1,4,3,0,3,1
72142,challenger,147,198,REACHR19_HH_L08,elimination,REACHR21_PH_L17,R,10,1.263157894736842,-0.2631578947368421,0,2,3,0,5,0,1,0,1,3,3,1,3,0,1,5,1,0,2,2
72143,challenger,198,147,REACHR21_PH_L17,elimination,REACHR19_HH_L08,R,10,1.263157894736842,-0.2631578947368421,1,4,0,0,2,3,0,0,0,6,1,0,4,2,1,3,3,1,4,1
72212,challenger,147,249,REACHR19_HH_L08,draw,REACHR25_AH_G03,,20,0.0,0.0,3,4,3,0,9,0,0,0,1,5,3,0,8,1,1,7,1,1,5,3
72213,challenger,249,147,REACHR25_AH_G03,elimination,REACHR19_HH_L08,R,12,1.2105263157894737,-0.2105263157894736,0,6,0,0,6,0,0,1,0,7,1,1,1,1,1,6,1,0,2,1
72348,challenger,249,52,REACHR25_AH_G03,elimination,REACHR28_PL_G06,R,12,1.2105263157894737,-0.2105263157894736,0,6,0,1,5,0,0,2,0,7,1,2,1,1,1,6,1,0,3,1
72349,challenger,52,249,REACHR28_PL_G06,elimination,REACHR25_AH_G03,B,8,-0.3157894736842105,1.3157894736842106,3,1,0,0,4,0,0,0,0,1,1,0,7,0,0,1,1,4,2,1
72486,challenger,249,198,REACHR25_AH_G03,elimination,REACHR21_PH_L17,R,4,1.4210526315789471,-0.4210526315789473,0,2,0,0,2,0,0,0,1,1,2,0,1,1,1,2,1,0,2,0
72487,challenger,198,249,REACHR21_PH_L17,elimination,REACHR25_AH_G03,R,12,1.2105263157894737,-0.2105263157894736,0,6,0,0,6,0,0,0,0,7,1,0,6,0,1,6,1,0,5,1
